Variable,Global_OLS,Mean,Median,SD,Min,Max,IQ_Range,Spatial_Range
Z_apt,0.1573701022018656,0.5540435756533381,0.1161409663078187,12.273736574323303,-1441.7642028452046,106.22607879080692,1.334831630366996,1547.9902816360116
Z_train,-0.08512588652237582,-0.08049379296098585,0.027308768311219186,19.045776350513428,-394.1339092276144,357.11510063151366,5.303151413671372,751.2490098591281
Z_bus,-0.13640587298001586,0.049772525469709,0.06743561928619457,11.414677892569255,-331.2952214244996,233.6204023954737,3.2745738621632796,564.9156238199732
Z_sewage,0.19307161882753615,0.007685112600329508,-0.0085488953892323,12.898344878768606,-266.20859543297445,283.6839070930854,1.3918056487607045,549.8925025260598
Z_slum,0.27865940313327014,-0.15578745748571363,0.08988379134376595,8.44020410977187,-421.9533173197173,97.97463154870387,0.8732060208048158,519.9279488684211
Z_irregular,0.0667105874717827,0.09580772987820015,0.010746666238610524,6.348353154814183,-240.88689868507572,149.82634665916484,1.1570135980041631,390.7132453442406
Intercept,-0.06547640774725799,-0.8396159346860467,-0.2998926836260975,10.469423866895752,-211.0881268397665,164.1398243025894,4.585677762588444,375.2279511423559
Z_tenement,-0.03416953059154135,0.1351482223008233,0.019701374411639945,2.8217018224807138,-38.22585506106076,122.62249697516683,1.0097694447846803,160.8483520362276
Z_income,0.006322236456701419,0.10499532239405214,0.06165225900983201,1.5545050967576028,-32.10696034844221,37.453241840847426,1.1636057511688205,69.56020218928964
Z_persons_hh,-0.02922068611568473,-0.04210605199293962,0.011102865206904542,1.3921257532416427,-30.688534696993234,23.820112073985197,0.9204651250280866,54.50864677097843
