Variable,VIF
Z_income,1.67741564771567
Z_apt,1.5428564550496373
Z_sewage,1.274339029942973
Z_train,1.1108934927141492
Z_bus,1.0583611174596432
Z_slum,1.2508329965481075
Z_tenement,1.037097886231637
Z_irregular,1.2066750356368325
Z_persons_hh,1.3188502785703478
